ID_Localidades;Localidades;ID_Provincias
1;LA ESCONDIDA;4
2;KILOMETRO 548;4
3;COLONIA EL CACIQUE LLORON;4
4;LEGUA 41;4
5;LAS CHACRAS;6
6;LOS CADILLOS;6
7;VILLA QUILINO;6
8;QUILINO;6
9;CARRENLEUFU;5
10;LAGO BLANCO;5
11;VILLA SANTOS TESEI;1
12;HURLINGHAM;1
13;WILLIAM C. MORRIS;1
14;ORATORIO MORANTE;21
15;GODOY;21
16;CAMPO LA VICTORIA;21
17;VILLA MERCEDES;19
18;LA RIVERA;19
19;DIQUE VULPIANI;19
20;LA RIBERA;19
21;SAN FRANCISCO DE ALFARCITO;10
22;SANTA ANA DE LA PUNA;10
23;TUSAQUILLAS;10
24;SANTA ANA;10
25;TRANCAS;10
26;RINCONADILLAS;10
27;SALADO;10
28;ABDON CASTRO TOLAY;10
29;SANTUARIO DE TRES POZOS;10
30;TOLARITO;10
31;28 DE JULIO;5
32;NAUPA HUEN;16
33;CHILCA JULIANA;22
34;EL MANZANO;13
35;LAS CHACRAS;13
36;MALARGUE;13
37;LA JUNTA;13
38;LUANCO;13
39;LAS LENAS;13
40;EL CHACAY;13
41;AGUA ESCONDIDA;13
42;MINACAR;13
43;EL INFIERNILLO;13
44;LOS CARRIZALES;13
45;EL VATRO;13
46;RINCON CHICO;13
47;LA SALINILLA;13
48;EL ALAMBRADO;13
49;CALMUCO;13
50;LLANO BLANCO;13
51;PATA MORA;13
52;RIO GRANDE;13
53;LOS CORRALES;13
54;EL CARAPACHO;13
55;LA VALENCIANA;13
56;LOS MOLLES;13
57;MOGOTES ASPEROS;6
58;OJO DE AGUA;6
59;ESTANCIA DE GUADALUPE;6
60;SAN FELIPE;6
61;TRES LOMAS;6
62;LA ARGENTINA;6
63;CORREA;21
64;BERRETTA;21
65;ESTACION BERRETA;21
66;EL CHALTEN;20
67;EL ARBOLITO;1
68;LOS BARRILES;1
69;COLONIA LA PERLA;1
70;SARASA;1
71;PEARSON;1
72;COLON;1
73;KILOMETRO 404;1
74;VILLA CACIQUE;1
75;EL SAUCE;1
76;BARKER;1
77;BENITO JUAREZ;1
78;CORONEL RODOLFO BUNGE;1
79;LOPEZ;1
80;SAN ANTONIO;1
81;EL LUCHADOR;1
82;LA TINTA;1
83;TEDIN URIBURU;1
84;LOS CONQUISTADORES;8
85;GANCEDO;4
86;LA BOLSA;4
87;LABORDE;6
88;GENERAL GALARZA;8
89;MOJOTORO;17
90;ISLAS DE VAQUEROS;17
91;SANTA GERTRUDIS;17
92;LA CALDERILLA;17
93;LOS SAUCES;17
94;LOS PORONGOS;17
95;LA CALDERA;17
96;EL GALLINATO;17
97;CAMPO ALEGRE;17
98;LA FALDA DE SAN ANTONIO;3
99;EL HUECO;3
100;LA TERCENA;3
101;LA CARRERA;3
102;POMANCILLO;3
103;VILLA LAS PIRQUITAS;3
104;COLLAGASTA;3
105;SAN JOSE;3
106;POMANCILLO OESTE;3
107;POMANCILLO ESTE;3
108;SAN ANTONIO;3
109;CRUCE MUNOZ;1
110;VILLA ALFREDO FORTABAT;1
111;CUARTEL II  AEROPUERTO;1
112;ESPIGAS;1
113;RECALDE;1
114;CAMPO ELSSIRY;1
115;EL PORVENIR;1
116;SIERRAS BAYAS;1
117;OLAVARRIA;1
118;CHACRAS DE PIBUEL;1
119;VIRGEN DE LA LOMA;1
120;SAN PEDRO;1
121;CALERA AVELLANEDA;1
122;EL MIRADOR;1
123;SAN QUILCO;1
124;COLONIA SAN MIGUEL;1
125;SIERRA CHICA;1
126;LAS PIEDRITAS;1
127;VILLA LA SERRANIA;1
128;ITURREGUI;1
129;VILLA MONICA;1
130;BLANCAGRANDE;1
131;CERRO SOTUYO;1
132;COLONIA HINOJO;1
133;MAPIS;1
134;CAMPO BELGRANO;1
135;VILLA ARRIETA;1
136;BLANCA CHICA;1
137;SAN GREGORIO;1
138;ROCHA;1
139;HINOJO;1
140;COLONIA NIEVAS;1
141;LA PARDA;1
142;SAN JACINTO;1
143;LA PROVIDENCIA;1
144;SANTA LUISA;1
145;POURTALE;1
146;LA MODERNA;1
147;SAN ANTONIO;1
148;LA CARMELITA;1
149;LOS CHILENOS;1
150;CAMPO STRIEBECK;1
151;COLONIA ITURRASPE;21
152;COLONIA LA POSTA;21
153;AREQUITO;21
154;SAN JOSE DE AGUILAR;17
155;PUCALLPA;17
156;LIZOITE;17
157;LA SOLEDAD;17
158;HORNILLOS;17
159;EL PUESTO;17
160;LA FALDA;17
161;RODEO PAMPA;17
162;PUCARA;17
163;LA HUERTA;17
164;CAMPO LA PAZ;17
165;PUEBLO VIEJO;17
166;SAN FRANCISCO;17
167;SAN JOSE;17
168;ABRA DE SANTA CRUZ;17
169;SANTA CRUZ;17
170;CHORRO;17
171;SANTA VICTORIA;17
172;ABRA DE SAN ANTONIO;17
173;ANTIGAL;17
