ID_Producto;Nombre_Producto;ID_Proveedores;Precio_Unitario;Precio_Venta;Stock;ID_Deposito
1;AMSTEL LATA ;1;114.22;217.02;170;1
2;BLUE MOON LATA ;1;167.15;317.59;137;1
3;BLUEMOON PORRON ;1;138.38;262.92;0;1
4;BUDWEISER ;1;110;209;0;1
5;GROLSCH BARRIL ;1;9237.03;17550.36;0;1
6;GROLSCH LATA ;1;87.08;165.45;0;1
7;GROLSCH PORRON ;1;138.38;262.92;0;1
8;HEINEKEN BARRIL ;1;2510.55;4770.05;0;1
9;HEINEKEN LATA ;1;109.36;207.78;84;1
10;HEINEKEN ;1;67.59;128.42;0;1
11;HEINEKEN PORRON ;1;60.14;114.27;0;1
12;IMPERIAL BARRIL ;1;5617.32;10672.91;6;1
13;IMPERIAL LATA ;1;90.25;171.48;277;1
14;ISEN BARRIL ;1;3562.55;6768.85;0;1
15;KUNSTMAN ;1;179.48;341.01;55;1
16;MILLER BARRIL ;1;4100.66;7791.25;0;1
17;MILLER LATA ;1;95;180.5;123;1
18;MILLER PORRON ;1;99.75;189.53;0;1
19;OM BEASTIE ALE ;1;43.35;82.37;0;1
20;OM GOLDEN ;1;73.7;140.03;0;1
21;OM INDIA PALE ALE ;1;51.92;98.65;0;1
22;OM LAGER ;1;73.7;140.03;0;1
23;OM NUT ;1;73.7;140.03;0;1
24;OM RED ;1;73.7;140.03;0;1
25;SCHNEIDER BARRIL ;1;705.5;1340.45;0;1
26;SOL LATA ;1;130.53;248.01;41;1
27;TUBO CO2 ;1;2066.12;3925.63;2;1
28;WARSTEINER BARRIL ;1;7700.22;14630.42;4;1
29;WARSTEINER LATA ;1;78.59;149.32;0;1
30;WARSTEINER PORRON ;1;78.64;149.42;0;1
31;ABSOLUT AZUL ;3;822.31;1562.39;65;1
32;ABSOLUT CITRON ;3;672.52;1277.79;1;1
33;ABSOLUT ELYX ;3;300.75;571.43;1;1
34;ABSOLUT MANDARIN ;3;430.79;818.5;3;1
35;ABSOLUT MANGO ;3;309.92;588.85;6;1
36;ABSOLUT PEARS ;3;225.56;428.56;17;1
37;ABSOLUT RASBERRY ;3;430.79;818.5;24;1
38;AMARETTO LUXARDO ;3;221.8;421.42;0;1
39;AMARETTO ;3;39.15;74.39;9;1
40;AMARULA ;3;3097.94;5886.09;8;1
41;ANTICA  FORMULA ;3;119.83;227.68;0;1
42;APEROL ;3;578.51;1099.17;165;1
43;BACARDI 8 ANOS ;3;99.51;189.07;0;1
44;BACARDI BLANCO ;3;288.04;547.28;0;1
45;BACARDI ORO ;3;288.04;547.28;0;1
46;BAILEYS ;3;1163.54;2210.73;30;1
47;BALLANTINES;3;169.22;321.52;37;1
48;BEEFEATER ;3;800;1520;0;1
49;BITTER ANG. ;3;3116.44;5921.24;0;1
50;BITTER FEE. ;3;639.2;1214.48;0;1
51;BITTER FEE. ORANGE ;3;639.2;1214.48;0;1
52;BLUE CURACAO ;3;71.28;135.43;22;1
53;BOMBAY ;3;2272.52;4317.79;0;1
54;CACHACA ;3;268;509.2;52;1
55;CACHACA VELHO ;3;625.21;1187.9;13;1
56;CAMPARI ;3;578.51;1099.17;52;1
59;CARPANO ROSSO ;3;268.47;510.09;24;1
60;CASSIS LICOR ;3;319.63;607.3;8;1
61;CHIVAS ;3;15552.89;29550.49;6;1
62;CHIVAS ROYAL ;3;620.34;1178.65;2;1
63;CINZANO ;3;45.67;86.77;0;1
64;COINTREAU ;3;3182.23;6046.24;14;1
65;CUERVO BLANCO ;3;1026.45;1950.26;0;1
66;CUERVO ESPECIAL ;3;186.44;354.24;56;1
67;CYNAR ;3;60.89;115.69;0;1
68;DRAMBUIE ;3;3211;6100.9;3;1
69;DURAZNO LICOR ;3;273.96;520.52;23;1
70;FAMOUS GROUSE ;3;288.01;547.22;0;1
71;FERNET BRANCA MENTA ;3;90.55;172.05;41;1
72;FERNET BRANCA ;3;651.93;1238.67;49;1
73;FERNET RAMAZOTTI ;3;48.52;92.19;0;1
74;FLOR DE C. BLANCO ;3;446;847.4;22;1
75;FLOR DE C. CENTENARIO ;3;294.62;559.78;6;1
76;FRUTILLA LICOR ;3;319.63;607.3;24;1
77;GANCIA ;3;225.54;428.53;38;1
78;GIN MOHON ;3;206.76;392.84;0;1
79;GLENDFIDDICH ;3;6568.18;12479.54;1;1
80;GLENLIVET ;3;3786.18;7193.74;1;1
81;GORDON S ;3;637.29;1210.85;0;1
82;GRAND MARNIER ;3;2704.55;5138.65;1;1
84;GRAPA ;3;634.34;1205.25;1;1
85;GREY GOOSE ;3;4616.7;8771.73;1;1
86;HAVANA CLUB 7 A ;3;965.91;1835.23;0;1
87;HAVANA CLUB ;3;120.12;228.23;15;1
88;HAVANA CLUB ORO ;3;51.78;98.38;0;1
89;HENDRICK ;3;1721.07;3270.03;0;1
90;HENNESSY RICHARD ;3;351.88;668.57;0;1
91;HENNESSY VS ;3;351.88;668.57;0;1
92;HENNESSY VSOP ;3;1417.11;2692.51;0;1
93;HENNESSY XO ;3;351.88;668.57;0;1
94;JB ;3;1011.53;1921.91;16;1
95;J. W. BLACK ;3;2239.63;4255.3;4;1
96;J. W. BLUE ;3;12817.4;24353.06;0;1
97;J. W. RED ;3;143.69;273.01;2;1
98;JACK DANIELS ;3;1457.59;2769.42;11;1
99;JAMESON ;3;2519.56;4787.16;5;1
100;JANGERMEISTER ;3;1868.6;3550.34;4;1
101;JIM BEAM ;3;2057.32;3908.91;0;1
102;JURA PROPHECY ;3;263.16;500;0;1
103;KALUA ;3;319.63;607.3;3;1
104;KIWI LICOR ;3;80.99;153.88;15;1
105;LIMON LICORES STREGA ;3;2079.34;3950.75;33;1
106;MALIBU ;3;541.32;1028.51;0;1
107;MANZANA LICOR ;3;52.2;99.18;0;1
108;MARTINI BIANCO ;3;37.84;71.9;32;1
109;MARTINI DRY ;3;134.76;256.04;3;1
110;MARTINI ROSSO ;3;157.79;299.8;50;1
111;MELON LICOR ;3;319.63;607.3;35;1
112;MENTA LICOR ;3;39.15;74.39;7;1
113;NORDES GIN ;3;766.45;1456.26;0;1
114;OPORTO FERREIRA ;3;54.87;104.25;2;1
115;PISCO ;3;2002.06;3803.91;12;1
116;PRAVDA VODKA ;3;400.3;760.57;0;1
117;PUNT E MES ;3;77.07;146.43;50;1
118;RESERVA SAN JUAN COGNAC;3;470.66;894.25;5;1
119;SAMBUCA ;3;2181.05;4144;6;1
120;SKYY ;3;578.5;1099.15;236;1
121;SMIRNOFF CITRIC ;3;347.47;660.19;21;1
122;SMIRNOFF ;3;651.83;1238.48;30;1
123;SOUTHERN CONFORT ;3;47.09;89.47;0;1
124;STREGA ;3;101.39;192.64;0;1
125;TANQUERAY ;3;1435.45;2727.36;0;1
126;TEQUILA HERENCIA ;3;264.37;502.3;6;1
127;THE DALMORE 18 ANOS;3;220.63;419.2;0;1
128;TIA MARIA ;3;63.91;121.43;5;1
129;TRIPLE SEC ;3;456.61;867.56;49;1
130;600cc COCA  ZERO ;2;51.65;98.14;0;2
131;600cc COCA LIGHT ;2;51.65;98.14;0;2
132;600cc COCA ;2;51.65;98.14;0;2
133;600cc SPRITE ;2;39.38;74.82;0;2
134;600cc SPRITE SA ;2;40.79;77.5;0;2
135;600cc TONICA ;2;1.13;2.15;0;2
136;ACEITUNAS VERDES ;2;225.77;428.96;0;2
137;AGUA CON GAS ;2;35.91;68.23;1524;2
138;AGUA SIN GAS ;2;35.91;68.23;1685;2
139;ANANA RODAJAS ;2;453.87;862.35;18;2
140;ARANDANOS CONGELADOS ;2;24;45.6;0;2
141;CEBOLLITAS PERLA ;2;505.39;960.24;0;2
